Track Name,Artist,Streams
E-GIRLS ARE RUINING MY LIFE!,CORPSE,20410285
you should see me in a crown,Billie Eilish,20103311
The London (feat. J. Cole & Travis Scott),Young Thug,20102215
Por Primera Vez,Camilo,20027454
Starboy,The Weeknd,19989907
STARGAZING,Travis Scott,19982185
Way Out (feat. Big Sean),Jack Harlow,19970064
Rags2Riches 2 (feat. Lil Baby),Rod Wave,19931576
Faith,The Weeknd,19903615
Blue World,Mac Miller,19823380
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,19814162
forget me too (feat. Halsey),Machine Gun Kelly,19813094
Lemonade,Internet Money,19804278
Nada,Cali Y El Dandee,19787966
peace,Taylor Swift,19764942
Wash Us In The Blood,Kanye West,19738291
Snowchild,The Weeknd,19735649
"The Plan - From the Motion Picture ""TENET""",Travis Scott,19711363
René,Residente,19599184
Ain't It Different (feat. AJ Tracey & Stormzy),Headie One,19362176
+Linda,Dalex,19291759
Se Me Olvidó,Christian Nodal,19260286
Escape From LA,The Weeknd,19226200
